,A,B,C,G,R,X6,X8
245,10,844.13,689.77,59.43,5189,68.0863,0.2439
246,8,858.78,689.77,58.27,5574,86.8317,0.2183
247,8,860.93,689.77,58.27,6173,80.3661,0.2112
248,8,873.04,739.75,60.02,3722,80.2526,0.243
249,9,876.9,799.73,61.88,2518,94.162,0.2495
250,9,852.75,689.77,57.71,3961,79.9041,0.2488
251,8,865.17,689.77,57.71,4496,73.7544,0.2452
252,9,874.08,759.75,57.71,2531,91.5844,0.2503
253,8,855.17,729.76,57.71,4371,87.0281,0.2481
254,9,872.44,729.76,60.63,4851,88.7858,0.2431
255,8,866.59,689.77,59.43,3936,76.753,0.2524
256,9,836.49,689.77,59.43,4884,63.7797,0.2461
257,8,752.45,649.78,61.24,2085,63.788999999999994,0.2514
258,7,728.73,649.78,70.61,1879,90.79299999999999,0.2111
259,7,790.85,669.78,61.88,2636,80.7284,0.2107
260,8,836.49,689.77,56.62,6418,69.3674,0.2461
261,8,840.31,619.79,39.49,22541,80.0319,0.245
262,6,863.65,679.77,51.74,5427,75.7324,0.1404
263,6,924.36,729.76,51.74,6607,36.4159,0.1442
264,8,975.19,849.72,51.74,3522,36.8257,0.1414
265,8,977.26,859.71,53.12,2260,73.8053,0.2117
266,9,963.13,859.71,56.09,1363,71.6801,0.2864
267,9,942.69,839.72,59.43,1384,77.8179,0.2829
268,6,957.96,839.72,54.56,2366,86.4751,0.28800000000000003
269,7,1008.24,889.7,50.44,5383,31.1165,0.248
270,8,962.44,379.87,50.44,10953,41.2125,0.2508
271,8,950.37,379.87,54.56,7694,65.3236,0.1814
272,6,992.53,889.7,52.19,1733,83.3237,0.1799
273,7,993.95,889.7,52.19,2533,81.7213,0.2875
274,7,975.88,879.71,56.62,1957,68.8298,0.2827
275,8,876.37,389.87,45.13,9942,81.9252,0.1383
276,10,640.01,549.82,77.95,2105,10.0713,0.1736
277,10,634.68,559.81,77.95,898,38.4187,0.1751
278,10,626.96,579.81,85.74,564,31.5603,0.20800000000000002
279,10,639.12,579.81,82.22,889,15.748,0.1739
280,8,640.23,579.81,82.22,729,28.3951,0.2083
281,9,638.9,569.81,83.36,503,37.5746,0.2783
282,10,622.24,529.82,82.22,1055,21.2322,0.1429
283,9,632.83,529.82,81.11,1946,20.8633,0.2405
284,8,632.46,559.81,83.36,1247,19.2462,0.24600000000000002
285,6,616.75,559.81,83.36,1089,5.0505,0.141
286,7,614.48,549.82,85.74,1210,9.1736,0.1385
287,10,632.68,549.82,81.11,1811,12.148,0.1405
288,8,635.57,569.81,81.11,509,20.0393,0.2098
289,8,625.01,569.81,89.58,502,13.5458,0.1739
290,10,628.05,569.81,84.54,333,27.026999999999997,0.1385
291,10,637.34,569.81,84.54,588,39.966,0.1395
292,11,672.39,569.81,72.31,2429,17.2087,0.1416
293,9,706.76,569.81,72.31,1773,5.2453,0.1415
294,9,672.87,589.8,75.03,1683,12.7154,0.1415
295,10,639.12,589.8,88.26,213,59.1549,0.2782
296,10,638.88,599.8,90.94,112,64.2857,0.249
297,10,628.49,579.81,86.99,289,45.6747,0.17300000000000001
298,9,616.1,529.82,86.99,483,32.2981,0.1764
299,8,597.09,529.82,89.58,344,54.6512,0.1745
300,7,594.18,549.82,89.58,600,25.8333,0.1403
301,7,910.66,579.81,49.6,18396,18.3464,0.248
302,6,1020.77,849.72,49.6,3781,50.0132,0.2903
303,6,1003.24,919.69,55.57,1450,75.8621,0.3204
304,7,985.53,789.74,55.06,1966,87.4873,0.3149
305,9,877.52,759.75,55.06,3053,33.8356,0.2493
306,7,779.18,709.76,65.96,747,93.5743,0.1783
307,5,841.48,709.76,58.27,2636,47.5341,0.2097
308,6,997.17,849.72,53.12,2371,83.4669,0.2149
309,8,1027.44,899.7,53.12,2750,60.8727,0.2884
310,7,1008.24,899.7,54.56,1772,79.1761,0.2834
311,6,982.09,729.76,54.56,4245,36.5607,0.2458
312,6,975.39,729.76,55.06,3426,52.4227,0.1831
313,6,985.03,869.71,56.09,1130,88.0531,0.2538
314,7,1008.24,869.71,53.12,1110,77.1171,0.248
315,6,1024.47,929.69,53.12,1366,34.9927,0.2892
316,6,970.37,799.73,56.09,1714,35.0058,0.2488
317,6,947.35,799.73,57.71,2068,40.3288,0.3167
318,7,946.02,869.71,57.71,1108,74.8195,0.2819
319,7,966.92,889.7,57.16,1135,71.63,0.2853
320,7,1001.52,919.69,53.59,1474,50.9498,0.2589
321,9,1018.18,899.7,53.59,1523,39.7242,0.29100000000000004
322,7,904.07,719.76,55.06,2590,46.2934,0.242
323,5,873.77,719.76,57.16,4316,24.3513,0.1788
324,6,996.1,789.74,52.65,2822,31.3607,0.1434
325,6,992.17,839.72,52.65,2334,54.7558,0.14400000000000002
326,8,952.44,839.72,56.09,2051,52.8035,0.1448
327,8,876.37,739.75,57.16,2797,14.8016,0.2075
328,7,778.39,689.77,68.2,704,26.2784,0.1389
329,6,804.02,689.77,62.52,999,42.1421,0.2843
330,6,914.36,799.73,57.16,2266,38.2171,0.2917
331,8,995.38,859.71,54.07,1846,56.9339,0.287
332,8,1003.95,919.69,52.65,1160,53.9655,0.3202
333,8,1009.31,929.69,52.65,1873,34.9706,0.3185
334,6,1032.25,929.69,54.07,1029,53.45,0.1435
335,7,1054.26,959.68,52.19,1837,56.7774,0.2919
336,7,1041.19,959.68,52.19,2155,62.181000000000004,0.2955
337,7,1073.49,979.67,51.74,1013,80.4541,0.2866
338,8,1055.03,939.69,51.74,769,62.6788,0.2917
339,7,1027.06,879.71,54.07,1792,63.7835,0.2885
340,6,968.99,789.74,54.07,1513,44.8116,0.1423
341,6,943.35,789.74,56.09,2114,46.7833,0.318
342,8,1027.81,909.7,54.07,1244,82.5563,0.3243
343,7,1056.19,969.68,53.59,656,72.4085,0.2549
344,7,1052.24,969.68,53.59,1251,40.4476,0.3168
345,7,1040.02,949.68,54.56,837,68.8172,0.3205
346,7,1054.26,949.68,52.19,1490,61.2752,0.2919
347,7,1051.13,969.68,52.19,1235,68.9069,0.2819
348,6,1073.87,969.68,50.02,1287,62.7817,0.1791
349,5,1070.03,949.68,50.02,1021,67.4829,0.3235
350,6,990.03,759.75,53.59,4009,23.2477,0.3247
351,7,925.02,759.75,55.06,3593,33.4818,0.1441
352,7,879.71,799.73,58.27,2236,32.0215,0.2131
353,7,920.69,799.73,56.09,2411,27.3745,0.2896
354,5,1001.09,879.71,54.56,1497,39.7462,0.3211
355,8,1028.94,959.68,52.65,1098,40.8015,0.3471
356,7,1035.58,939.69,52.65,1247,39.5349,0.1431
357,7,1030.03,899.7,54.07,1306,65.6968,0.2877
358,7,1049.27,989.67,54.07,492,71.3415,0.3299
359,7,1010.73,799.73,54.07,3980,31.1055,0.212
360,6,984.31,799.73,54.07,2927,52.4086,0.2177
361,5,993.95,889.7,56.09,728,47.8022,0.2875
362,6,1006.81,889.7,54.07,342,21.345,0.1774
363,5,1017.87,929.69,55.57,1015,80.5911,0.2807
