,A,B,C,G,R,X6,X8
1356,8,1156.7,1019.66,47.26,2725,78.8257,0.2161
1357,8,1167.94,1019.66,46.89,2301,83.0508,0.2497
1358,7,1193.95,1079.64,46.53,3458,87.1024,0.2185
1359,7,1196.99,1069.64,46.53,3369,84.0012,0.2179
1360,7,1160.41,909.7,46.89,6088,66.2779,0.2413
1361,6,1157.11,909.7,47.26,7283,62.4193,0.2161
1362,7,1195.43,989.67,45.82,5430,75.2486,0.2091
1363,6,1203.08,989.67,44.79,6774,86.3153,0.2168
1364,7,1182.65,1039.65,44.79,5987,86.9718,0.2206
1365,7,1152.12,969.68,45.47,5481,71.7387,0.217
1366,7,1175.26,969.68,45.47,5910,86.2775,0.222
1367,6,1195.25,1079.64,45.82,3047,82.0151,0.2183
1368,6,1166.28,1009.66,45.82,2663,83.8528,0.2144
1369,6,1184.39,1009.66,44.46,4651,69.2109,0.2203
1370,7,1221.41,1059.65,45.47,4222,93.0128,0.2233
1371,7,1179.19,1029.66,46.53,4133,93.806,0.2473
1372,8,1188.73,1019.66,46.53,4398,78.1719,0.2195
1373,7,1163.96,1019.66,46.53,2961,85.0388,0.2241
1374,6,1169.61,1029.66,46.17,4398,88.4948,0.223
1375,6,1194.38,1049.65,45.82,5238,87.8771,0.2184
1376,7,1172.94,1029.66,45.82,5498,91.8334,0.2487
1377,7,1155.86,979.67,43.18,9839,54.4161,0.2523
1378,6,1116.03,599.8,43.18,14453,63.5854,0.1434
1379,8,1123.23,599.8,47.26,13881,67.5384,0.2137
1380,8,1184.39,1029.66,47.26,5080,91.9094,0.2203
1381,8,1190.47,1029.66,46.17,4358,92.8408,0.2191
1382,7,1187.1,1049.65,46.17,4518,86.3656,0.2457
1383,8,1186.56,1049.65,46.53,4544,96.985,0.2199
1384,6,1196.12,1069.64,46.53,4159,91.9933,0.2181
1385,7,1167.11,1009.66,46.53,3296,91.8386,0.2499
1386,7,1150.03,999.67,45.47,3713,79.9892,0.2536
1387,8,1162.95,999.67,45.47,4033,69.7,0.215
1388,8,1170.03,1039.65,46.53,2524,80.7448,0.2493
1389,7,1162.66,1069.64,48.02,1906,94.3337,0.2244
1390,7,1126.71,929.69,48.02,4464,65.8602,0.2219
1391,9,855.89,359.88,48.8,12024,92.7063,0.2749
1392,10,743.81,329.89,48.8,22303,67.7981,0.2907
1393,7,977.89,639.79,44.79,17608,38.9312,0.2557
1394,7,1191.34,999.67,43.49,6982,55.7433,0.146
1395,8,1223.94,1019.66,42.87,5879,69.0424,0.1776
1396,8,1208.73,949.68,42.87,8970,70.0557,0.2878
1397,7,1212.32,949.68,45.13,3417,74.6561,0.2625
1398,6,1239.59,999.67,44.79,4094,58.8666,0.2567
1399,7,1236.54,999.67,42.27,4753,51.6937,0.2813
1400,6,1221.41,1069.64,45.47,2917,85.9787,0.2233
1401,8,1216.41,1069.64,44.79,4992,82.3518,0.2242
1402,8,1220.46,1069.64,44.79,3028,70.8058,0.1781
1403,8,1203.95,1069.64,45.47,3904,77.1516,0.2528
1404,6,1167.87,1019.66,46.53,3884,88.208,0.2606
1405,6,1190.44,1019.66,44.13,3832,71.6858,0.28
1406,7,1240.02,1099.63,44.13,2387,59.5308,0.2805
1407,7,1248.63,1109.63,41.39,5310,93.4275,0.2288
1408,6,1240.95,1109.63,41.39,4864,91.5707,0.2198
1409,6,1228.23,1079.64,42.27,2845,73.7786,0.2591
1410,6,1166.13,969.68,42.27,6591,47.3828,0.2237
1411,5,1155.03,969.68,44.79,5238,69.1676,0.2165
1412,5,1171.28,1029.66,46.89,3945,61.7997,0.249
1413,7,1164.61,969.68,44.13,6938,63.9521,0.1789
1414,7,1216.99,1079.64,43.18,6624,70.1842,0.2144
1415,6,1229.59,1089.64,43.18,2757,67.3196,0.2588
1416,7,1230.04,1039.65,45.47,2423,82.0883,0.2587
